control,cost_round_trip_bp,gross_return_proxy,net_return_proxy,observation_count,split,promotion_allowed,status
no_trade,0,0.0,0.0,25,audit_sample,False,DIAGNOSTIC_ONLY_NO_D5_UNLOCK
no_trade,23,0.0,0.0,25,audit_sample,False,DIAGNOSTIC_ONLY_NO_D5_UNLOCK
no_trade,46,0.0,0.0,25,audit_sample,False,DIAGNOSTIC_ONLY_NO_D5_UNLOCK
shuffle,0,0.020505788737171585,0.020505788737171585,25,audit_sample,False,DIAGNOSTIC_ONLY_NO_D5_UNLOCK
shuffle,23,0.020505788737171585,0.018205788737171585,25,audit_sample,False,DIAGNOSTIC_ONLY_NO_D5_UNLOCK
shuffle,46,0.020505788737171585,0.015905788737171585,25,audit_sample,False,DIAGNOSTIC_ONLY_NO_D5_UNLOCK
equal_weight_top_k,0,0.042604270567859294,0.042604270567859294,25,audit_sample,False,DIAGNOSTIC_ONLY_NO_D5_UNLOCK
equal_weight_top_k,23,0.042604270567859294,0.04030427056785929,25,audit_sample,False,DIAGNOSTIC_ONLY_NO_D5_UNLOCK
equal_weight_top_k,46,0.042604270567859294,0.038004270567859294,25,audit_sample,False,DIAGNOSTIC_ONLY_NO_D5_UNLOCK
frozen_d3,0,0.020505788737171585,0.020505788737171585,25,audit_sample,False,DIAGNOSTIC_ONLY_NO_D5_UNLOCK
frozen_d3,23,0.020505788737171585,0.018205788737171585,25,audit_sample,False,DIAGNOSTIC_ONLY_NO_D5_UNLOCK
frozen_d3,46,0.020505788737171585,0.015905788737171585,25,audit_sample,False,DIAGNOSTIC_ONLY_NO_D5_UNLOCK
