table,code,prefix,code_preserved_as_string,row_count,first_date,last_date,missing_calendar_days,stale_vs_global_latest,coverage_bucket,status
A000020,000020,A,True,10488,19860415,20260612,4181,False,deep_history,INSPECTED_RESEARCH_ONLY
A000040,000040,A,True,10488,19860415,20260612,4181,False,deep_history,INSPECTED_RESEARCH_ONLY
A000050,000050,A,True,10488,19860415,20260612,4181,False,deep_history,INSPECTED_RESEARCH_ONLY
A000070,000070,A,True,10488,19860415,20260612,4181,False,deep_history,INSPECTED_RESEARCH_ONLY
A000075,000075,A,True,8475,19920627,20250808,3621,True,deep_history,WATCH
A000080,000080,A,True,4099,20091019,20260612,1982,False,deep_history,INSPECTED_RESEARCH_ONLY
A000087,000087,A,True,3616,20110926,20260612,1758,False,deep_history,INSPECTED_RESEARCH_ONLY
A0000D0,0000D0,A,True,359,20241217,20260612,184,False,thin_history,INSPECTED_RESEARCH_ONLY
A0000H0,0000H0,A,True,287,20250408,20260612,144,False,thin_history,INSPECTED_RESEARCH_ONLY
A0000J0,0000J0,A,True,354,20241224,20260612,182,False,thin_history,INSPECTED_RESEARCH_ONLY
A0000Y0,0000Y0,A,True,354,20241224,20260612,182,False,thin_history,INSPECTED_RESEARCH_ONLY
A0000Z0,0000Z0,A,True,354,20241224,20260612,182,False,thin_history,INSPECTED_RESEARCH_ONLY
A000100,000100,A,True,10488,19860415,20260612,4181,False,deep_history,INSPECTED_RESEARCH_ONLY
A000105,000105,A,True,7897,19950221,20260612,3538,False,deep_history,INSPECTED_RESEARCH_ONLY
A000120,000120,A,True,10488,19860415,20260612,4181,False,deep_history,INSPECTED_RESEARCH_ONLY
A000140,000140,A,True,10488,19860415,20260612,4181,False,deep_history,INSPECTED_RESEARCH_ONLY
A000145,000145,A,True,10055,19870930,20260612,4081,False,deep_history,INSPECTED_RESEARCH_ONLY
A000150,000150,A,True,10488,19860415,20260612,4181,False,deep_history,INSPECTED_RESEARCH_ONLY
A000155,000155,A,True,10398,19860802,20260612,4162,False,deep_history,INSPECTED_RESEARCH_ONLY
A000157,000157,A,True,6535,19991203,20260612,3154,False,deep_history,INSPECTED_RESEARCH_ONLY
A000180,000180,A,True,10488,19860415,20260612,4181,False,deep_history,INSPECTED_RESEARCH_ONLY
A0001A0,0001A0,A,True,88,20260130,20260612,46,False,thin_history,INSPECTED_RESEARCH_ONLY
A0001P0,0001P0,A,True,354,20241224,20260612,182,False,thin_history,INSPECTED_RESEARCH_ONLY
A0001S0,0001S0,A,True,284,20241224,20260227,147,True,thin_history,WATCH
A000210,000210,A,True,10488,19860415,20260612,4181,False,deep_history,INSPECTED_RESEARCH_ONLY
